BLE, 109.24, 21.50, 180.00, MDBT40-NO-EXTRAMDBT40-NO-EXTRA, MDBT40-NO-EXTRA
U$11, 180.95, 95.23, 90.00, SK6805, SK6805
U$12, 200.00, 95.23, 90.00, SK6805, SK6805
U$13, 219.05, 95.23, 90.00, SK6805, SK6805
U$14, 257.15, 95.23, 90.00, SK6805, SK6805
U$15, 275.46, 67.59, 180.00, SK6805, SK6805
U$16, 275.46, 48.54, 180.00, SK6805, SK6805
U$17, 257.20, 29.05, 270.00, SK6805, SK6805
U$18, 219.10, 29.05, 270.00, SK6805, SK6805
U$19, 200.05, 29.05, 270.00, SK6805, SK6805
U$20, 181.15, 29.05, 270.00, SK6805, SK6805
U$21, 161.95, 29.05, 270.00, SK6805, SK6805
U$22, 142.90, 29.05, 270.00, SK6805, SK6805
U$23, 123.85, 29.05, 270.00, SK6805, SK6805
U$24, 104.95, 29.79, 270.00, SK6805, SK6805
U$25, 85.30, 28.97, 270.00, SK6805, SK6805
U$26, 47.65, 28.90, 270.00, SK6805, SK6805
U$27, 23.09, 48.49, 0.00, SK6805, SK6805
U$28, 23.04, 67.69, 90.00, SK6805, SK6805
U$5, 47.60, 95.23, 90.00, SK6805, SK6805
U$6, 85.70, 95.23, 90.00, SK6805, SK6805
U$7, 104.90, 95.23, 90.00, SK6805, SK6805
U$8, 123.80, 95.23, 90.00, SK6805, SK6805
U$9, 142.85, 95.23, 90.00, SK6805, SK6805
U1, 98.08, 23.81, 0.00, MIC5205-3.3YM5TR, SOT95P280X130-5N
U2, 97.93, 17.26, 180.00, SN74LVC2G34DBVR, SOT95P280X145-6N
U3, 38.10, 65.93, 270.00, AT90USB646, QFN50P900X900X100-65N
U4, 28.13, 94.13, 90.00, USBLC6-2P6, SOT50P160X60-6N
U5, 95.85, 64.74, 90.00, FS312F-G, FS312F-G
U6, 31.70, 84.01, 0.00, MCP73871-2AAI/ML, QFN50P400X400X100-21N
U7, 38.32, 81.33, 270.00, TPS61252DSGT, SON50P200X200X80-9N
USB-C, 28.13, 97.75, 180.00, USB-C, TYPE-C-31-M-12
Y1, 45.99, 63.25, 90.00, 8MHz, CRYSTAL-3.2X2.5
